relpath,label,class
plantdoc_external/apple_scab/test_Apple Scab Leaf_1.jpg,0,apple_scab
plantdoc_external/apple_scab/test_Apple Scab Leaf_10.jpg,0,apple_scab
plantdoc_external/apple_scab/test_Apple Scab Leaf_2.jpg,0,apple_scab
plantdoc_external/apple_scab/test_Apple Scab Leaf_3.jpg,0,apple_scab
plantdoc_external/apple_scab/test_Apple Scab Leaf_4.jpg,0,apple_scab
plantdoc_external/apple_scab/test_Apple Scab Leaf_5.jpg,0,apple_scab
plantdoc_external/apple_scab/test_Apple Scab Leaf_6.jpg,0,apple_scab
plantdoc_external/apple_scab/test_Apple Scab Leaf_7.jpg,0,apple_scab
plantdoc_external/apple_scab/test_Apple Scab Leaf_8.jpg,0,apple_scab
plantdoc_external/apple_scab/test_Apple Scab Leaf_9.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_1.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_10.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_11.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_12.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_13.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_14.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_15.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_16.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_17.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_18.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_19.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_2.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_20.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_21.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_22.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_23.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_24.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_25.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_26.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_27.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_28.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_29.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_3.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_30.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_31.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_32.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_33.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_34.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_35.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_36.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_37.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_38.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_39.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_4.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_40.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_41.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_42.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_43.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_44.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_45.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_46.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_47.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_48.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_49.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_5.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_50.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_51.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_52.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_53.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_54.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_55.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_56.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_57.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_58.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_59.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_6.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_60.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_61.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_62.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_63.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_64.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_65.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_66.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_67.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_68.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_69.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_7.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_70.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_71.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_72.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_73.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_74.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_75.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_76.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_77.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_78.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_79.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_8.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_80.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_81.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_82.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_83.jpg,0,apple_scab
plantdoc_external/apple_scab/train_Apple Scab Leaf_9.jpg,0,apple_scab
plantdoc_external/cedar_apple_rust/test_Apple rust leaf_1.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/test_Apple rust leaf_10.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/test_Apple rust leaf_2.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/test_Apple rust leaf_3.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/test_Apple rust leaf_4.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/test_Apple rust leaf_5.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/test_Apple rust leaf_6.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/test_Apple rust leaf_7.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/test_Apple rust leaf_8.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/test_Apple rust leaf_9.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_1.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_10.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_11.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_12.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_13.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_14.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_15.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_16.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_17.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_18.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_19.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_2.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_20.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_21.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_22.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_23.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_24.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_25.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_26.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_27.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_28.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_29.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_3.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_30.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_31.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_32.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_33.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_34.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_35.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_36_1.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_36_2.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_36_3.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_37.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_38.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_39_1.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_39_2.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_4.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_40.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_41.jpg,2,cedar_apple_rust
plantdoc_external/cedar_apple_rust/train_Apple rust leaf_42_1.jpg,2,cedar_apple_rust
