relpath,label,class
plantvillage_leakfree/train/apple_scab/01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/06cf74b6-d895-4a09-b3b1-bc63579f8c33___FREC_Scab 3128.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/073b509f-c1ea-4e61-881b-2e874c5f4199___FREC_Scab 3286.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/075b1885-250b-4b3e-8168-e54efdbb04e8___FREC_Scab 3173.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/0812e1e4-6d1b-4264-8f23-6519354fc5a6___FREC_Scab 3293.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/0896ecbc-1af2-4868-8279-ed302acb29bc___FREC_Scab 3339.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/08c42d78-aa7b-4106-b0c1-b260f898dcba___FREC_Scab 3151.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/095c9131-a0cb-47de-898a-f9371f208c01___FREC_Scab 3109.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/09ba6ad9-aa8d-4493-b1bf-818a4b30c4aa___FREC_Scab 2981.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/09e40e4f-f8bc-4537-b20d-0b244760dbf4___FREC_Scab 3216.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/0a14783a-838a-4d4f-a671-ff98011714c6___FREC_Scab 3288.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/0a6812de-7416-4ffe-aba9-307599a02c84___FREC_Scab 2973.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/0b170906-9436-4c0d-84c1-c396ad9d909b___FREC_Scab 3101.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/0c620ec5-11cf-4120-94ab-1311e99df147___FREC_Scab 3131.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/0d3c0790-7833-470b-ac6e-94d0a3bf3e7c___FREC_Scab 2959.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/0d8d5b80-962d-4381-8d3b-9eca3f2f1bb0___FREC_Scab 3449.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/0e90fe4a-e8b6-4186-9429-a9fea180af9a___FREC_Scab 3391.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/0ea78733-9404-4536-8793-a108c66269b3___FREC_Scab 3145.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/10072248-60e2-4190-b4df-14e8ab61008c___FREC_Scab 3445.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/106aaa5f-c98d-482d-88ef-8e5170e9072d___FREC_Scab 3489.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/11f5b020-3dfd-400c-9819-7d229bc5f929___FREC_Scab 2945.jpg,0,apple_scab
plantvillage_leakfree/train/apple_scab/12bc3d5c-2409-426e-b6cb-a08cbf488153___FREC_Scab 3154.jpg,0,apple_scab
